序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
46,電資AI碩二,111C52555,嗛薚顁,438rhxm6f8,8,4,9,7,7,8,3,7,1,8
47,電資AI碩一,112C52858,瀋齴幧,w0j2bl2pbr,3,9,9,2,0,5,8,0,5,9
48,電資四,109820135,晬棣艹,dzlsndqqd9,5,1,7,2,8,5,2,0,6,6
49,電資三,110820664,劜萠胺,eohqzkim4y,1,1,8,5,8,7,3,8,1,9
50,資工碩三,110598666,鐳瓱它,vprlowwplw,3,4,4,2,0,8,5,0,9,4
51,二資港生二,110AEM187,候鷈湢,wk8x7cyvpq,4,9,5,4,9,5,8,0,6,8
52,電資資安碩一,112C53601,詹绪髴,hvii9ew0sc,0,3,4,7,4,9,7,7,3,0
53,創新AI碩二,111C71368,瘽麭闯,5ehnc86hrx,6,6,8,5,9,8,1,1,2,5
54,創新AI碩二,111C71941,噻苾蛟,25fdzzfbzn,6,7,6,2,0,0,8,1,3,1
55,資工碩一,112598937,鼴留掝,388hxxjbf1,5,9,5,3,9,0,5,3,7,3
56,電資三,110820390,郈饳藛,etl8ec2ky1,7,9,2,2,4,8,3,3,1,4
57,電資資安碩一,112C53975,攤官坃,p8zrelddyu,0,7,0,1,6,1,6,7,3,2
58,電資三,110820189,槩预蟣,u5u9b8e68yi,4,7,8,4,1,7,4,2,1,0
59,電資四,109820913,妫鳌覀,n9nq0h6jgp,5,1,7,2,1,6,5,7,2,2
60,資工碩二,111598731,碮溸微,iv827iw199,0,8,4,8,1,8,5,1,2,2
61,二資陸生二,110AEM878,翄靀蓺,vxuhhxt0gx,2,4,8,1,5,1,3,7,6,5
62,資工碩三,110598088,芴揿莀,1eqmclep69,4,1,5,2,0,2,1,2,3,7
63,二資港生二,110AEM742,榖藍緿,y4aozs4ytl,2,0,5,0,8,6,3,3,1,9
64,電資AI碩二,111C52861,鄩茊緓,d6gotlullkf,8,7,2,9,2,8,1,5,8,8
65,創新AI碩二,111C71591,櫚坒鈮,67ev5clzmdf,8,1,8,9,1,9,9,5,6,9
66,資工四,108590768,氹蘈珧,c7bjvn9lmqf,0,3,7,5,7,3,1,3,5,8
67,資工四,108590810,卼檤聄,9luafe4hdn,4,5,8,6,3,5,2,7,2,0
68,資工三,110590639,鮬尗揺,4wvzmgamyo,4,4,6,5,2,2,8,7,1,6
69,創新資安碩一,112C72368,鳨藊藅,513dxs8xo9,4,3,3,5,6,1,4,5,9,5
70,二資陸生二,110AEM891,尻詴郗,u89jw746gt,8,0,6,5,9,1,7,5,6,9
71,資工四,108590323,苘廧为,onsl8gruy,2,0,7,0,0,7,4,3,7,3
72,資工碩二,111598211,舢貀褚,llmy2kkf21,5,6,9,4,6,0,7,0,0,7
73,互動碩二,111AC8801,茇鰱琳,wqkw8y3zqqk,1,4,2,6,1,0,6,7,5,8
74,電資資安碩一,112C53103,壕枸垉,f5sdtodvmo,1,1,5,1,8,1,6,4,6,2
75,電資資安碩一,112C53908,藊勬鑙,ed9snfq7t6,3,9,8,9,2,8,0,0,0,1
76,資工四,108590637,阭繊隘,88s39uzkab,7,3,9,2,8,6,0,7,3,9
77,電資AI碩一,112C52935,轰歁灟,kmojixt9wx,7,1,6,5,5,0,7,7,2,1
78,二資港生二,110AEM677,捫暍舿,eybuzuw65r,2,9,4,9,2,7,3,9,2,4
79,電資AI碩二,111C52017,嶡韪唹,a3zhsik556,6,5,7,2,7,3,2,6,6,1
80,資工碩三,110598121,衈厭燄,ckvf09wzk3h,4,7,2,2,6,4,8,3,5,1
81,資工碩三,110598652,黦茀嚠,h8l42zax02,2,0,6,1,8,4,8,8,9,1
82,創新資安碩一,112C72570,瓍斒鿊,jxzejjo6n2,6,7,5,5,3,7,8,6,6,7
83,電資AI碩二,111C52645,宥寴齌,w7rnpfexcw,2,2,0,3,6,5,0,2,0,6
84,電資三,110820006,烼埃鹆,3xzmcedypd,9,6,0,2,8,2,9,6,6,6
85,資工三,110590539,姝嵄鲚,peofp4w2owh,7,7,9,8,8,3,1,8,2,1
86,資工三,110590537,屠刍坽,f72fd0r03n,3,1,1,6,2,2,8,3,1,1
87,互動碩二,111AC8080,礐簺牺,hgenvtk1mr,6,8,2,2,9,6,9,7,8,7
88,互動碩二,111AC8483,泦敤頥,2cjkj1enbe,0,6,9,7,4,1,4,0,6,5
89,創新資安碩一,112C72926,黽沷羍,ny1wdgfl16,4,2,2,5,7,6,9,6,5,3
90,資工碩三,110598280,犄溏潡,ex57n2bddt,5,2,8,6,9,5,2,8,1,9
91,二資陸生二,110AEM684,褖筧渒,rbkhy1a4ci,1,5,3,0,5,0,4,8,6,4
92,資工碩二,111598045,胤彷茿,l8m49iyunn,4,2,1,2,9,0,5,8,3,6
93,創新AI碩一,112C71898,焉椓肹,0me2w3100x,3,1,8,8,4,9,8,5,6,0
94,二資陸生二,110AEM255,梠聙脦,wkxc2tgd22l,6,4,1,8,5,4,5,0,0,6
95,創新AI碩二,111C71465,萱掵淃,1sbd8vwv2ef,0,9,5,8,2,7,6,1,1,9
96,二資陸生二,110AEM792,宩忨皪,jin4tq1hmj,5,6,6,8,1,2,9,0,1,8
97,資工三,110590163,茌糼焮,uzjpgdieg5,1,2,7,0,4,0,1,6,1,3
98,創新資安碩一,112C72124,籣膮復,fme8gplx8s,3,1,6,0,0,7,0,1,4,1
99,資工碩三,110598691,張颏知,jpdhoy4p2d,8,0,5,8,5,5,8,6,5,2
100,電資三,110820160,就垰絸,9w4k4bkxaql,7,5,8,1,1,6,5,2,0,0
101,資工碩三,110598338,襞鍔诡,l4f3mzwmtul,8,6,4,5,4,9,9,6,2,4
102,互動碩二,111AC8591,湴庯誼,bcm18zaa3nj,1,7,0,7,5,3,5,5,0,1
103,創新AI碩二,111C71134,貞螨籌,6j58q6zt08i,7,8,3,3,6,4,8,7,1,5
104,電資AI碩一,112C52142,区螹濲,7u97yq7lhj,8,3,9,4,6,7,7,6,7,2
105,資工碩三,110598961,澂匑譽,lleadiuebw,5,3,4,2,0,8,1,7,8,3
106,資工碩三,110598927,桭畈膵,si9kja2kaq,4,8,0,0,2,9,2,7,1,2
107,資工碩一,112598884,因繄蜋,37wa8ym9vj,8,3,7,0,8,6,5,1,1,3
108,電資四,109820347,厛謍墂,8uj8xpy1vk,8,2,4,4,3,3,2,2,1,7
109,二資陸生二,110AEM636,枬缣鲖,6i5miw42vs,5,5,3,0,6,8,9,4,1,9
110,資工三,110590457,刔拉步,eqzousyve9,3,7,1,9,5,8,6,2,1,4
111,資工碩三,110598267,铩翹劉,399uxcorvnk,8,6,7,8,2,3,7,9,9,6
112,資工四,108590904,必楕斦,75p9bqk9bmk,8,8,2,2,0,7,1,7,6,1
113,創新資安碩一,112C72016,慙方院,9bbu54g98g,2,1,7,9,8,2,9,8,4,5
114,電資資安碩一,112C53835,茜矷渦,dqzc8f684g,4,4,4,9,1,6,1,4,3,4
115,互動碩二,111AC8802,鱍则罁,yvjr5mptva,7,2,0,5,5,3,7,8,1,2
116,互動碩二,111AC8501,袃侭惫,y8xldgrvp3,2,5,2,9,8,3,2,1,1,7
117,資工四,108590211,闳网鑱,2yoesvvmge,0,7,8,5,1,8,4,4,9,5
118,資工碩二,111598272,伺谠担,s2z9ms3y51k,2,1,7,1,5,0,1,1,6,6
119,電資三,110820333,痭惜挍,ukfhgfpcbu,2,1,9,4,1,7,4,2,0,6
120,資工碩三,110598262,龞铹姍,t8hdaay9tn,5,5,9,2,8,4,8,3,6,0
